日期,NEV总销量,NEV总产量,BEV销量,PHEV销量
Aug-15,18054,21303,0,0
Sep-15,28092,28324,0,0
Oct-15,34316,36494,0,0
Nov-15,0,0,0,0
Dec-15,84055,75877,0,0
Jan-16,19178,19244,11672,5361
Feb-16,16548,18693,13163,5530
Mar-16,22399,24726,17296,5103
Apr-16,36000,37000,22000,7500
May-16,37000,41000,23000,9800
Jun-16,39000,42000,29000,10700
Jul-16,38000,37000,27000,10000
Aug-16,38000,43000,28000,10000
Sep-16,44000,44000,35000,9000
Oct-16,0,0,0,0
Nov-16,0,0,0,0
Dec-16,0,0,0,0
Jan-17,16475,17296,14085,2390
Feb-17,19582,18973,15481,4101
Mar-17,19872,22048,14766,5106
Apr-17,34473,37539,28562,5911
May-17,45598,51144,38105,6493
Jun-17,59000,65000,49000,11000
Jul-17,60000,66000,49000,12000
Aug-17,65000,68000,51000,13000
Sep-17,78000,78000,65000,14000
Oct-17,91000,92000,77000,15000
Nov-17,119000,122000,102000,17000
Dec-17,168000,155000,147000,21000
Jan-18,38000,41000,27000,12000
Feb-18,34000,39000,23000,10900
Mar-18,68000,68000,52000,16000
Apr-18,82000,81000,65000,17000
May-18,102000,96000,82000,20000
Jun-18,84000,86000,52000,22000
Jul-18,84000,90000,60000,24000
Aug-18,101000,99000,73000,28000
Sep-18,121000,127000,94000,27000
Oct-18,138000,146000,111000,27000
Nov-18,169000,173000,138000,31000
Dec-18,214000,225000,192000,32000
Jan-19,96000,91000,75000,21000
Feb-19,53000,59000,40000,13000
Mar-19,126000,128000,96000,30000
Apr-19,97000,102000,71000,26000
May-19,104000,112000,83000,18000
Jun-19,152000,134000,129000,20000
Jul-19,80000,84000,61000,19000
Aug-19,85000,87000,69000,16000
Sep-19,80000,89000,63000,17000
Oct-19,75000,95000,59000,16000
Nov-19,95000,110000,81000,14000
Dec-19,163000,149000,140000,22000
Jan-20,44000,40000,39000,5000
Feb-20,12908,9951,10680,2228
Mar-20,53000,50000,40000,13000
Apr-20,72000,80000,51000,20000
May-20,82000,84000,64000,18000
Jun-20,104000,102000,82000,21000
Jul-20,98000,100000,78000,19000
Aug-20,109000,112000,87000,22000
Sep-20,138000,136000,112000,26000
Oct-20,160000,167000,133000,27000
Nov-20,200000,198000,167000,33000
Dec-20,248000,235000,211000,37000
Jan-21,179000,194000,151000,29000
Feb-21,110000,124000,92000,17000
Mar-21,226000,216000,190000,36000
Apr-21,206000,216000,171000,35000
May-21,217000,217000,179000,39000
Jun-21,256000,248000,211000,44000
Jul-21,271000,284000,220000,50000
Aug-21,321000,309000,265000,56000
Sep-21,357000,353000,296000,61000
Oct-21,383000,397000,316000,68000
Nov-21,450000,457000,361000,89000
Dec-21,531000,518000,448000,82000
Jan-22,431000,452000,346000,85000
Feb-22,334000,368000,258000,75000
Mar-22,484000,465000,396000,88000
Apr-22,299000,312000,231000,68000
May-22,447000,466000,347000,100000
Jun-22,596000,590000,476000,120000
Jul-22,593000,617000,457000,135000
Aug-22,666000,691000,522000,144000
Sep-22,708000,755000,539000,169000
Oct-22,714000,762000,543000,171000
Nov-22,786000,768000,594000,192000
Dec-22,814000,795000,611000,203000
Jan-23,408000,425000,,
Feb-23,525000,552000,,
Mar-23,653000,674000,,
Apr-23,636000,640000,,
May-23,717000,713000,,
Jun-23,806000,784000,,
Jul-23,780000,805000,,
Aug-23,846000,843000,,
Sep-23,904000,879000,,
Oct-23,956000,989000,,
Nov-23,1026000,1074000,,
Dec-23,1191000,1172000,,
Jan-24,729000,787000,,
Feb-24,477000,464000,,
Mar-24,883000,863000,,
Apr-24,850000,870000,,
May-24,955000,940000,,
Jun-24,1049000,1003000,,
Jul-24,991000,984000,,
Aug-24,1100000,1092000,,
Sep-24,1287000,1307000,,
Oct-24,1430000,1463000,,
Nov-24,1512000,1566000,,
Dec-24,1596000,1530000,,
Jan-25,944000,1015000,,
Feb-25,892000,888000,,
Mar-25,1237000,1277000,,
Apr-25,1226000,1251000,,
May-25,1307000,1270000,,
Jun-25,1329000,1268000,,
Jul-25,1262000,1243000,,
Aug-25,1395000,1391000,,
Sep-25,1604000,1617000,,
Oct-25,1715000,1772000,,
Nov-25,1823000,1880000,,
